"Id","Name","Scope","Budget","AI Notes / BlockNote","AI Notes / Markdown","Referrer / Link URL","Referrer / Link Label","Referrer / Secondary Links","Status","Phone / Primary Phone Number","Phone / Primary Phone Country Code","Phone / Primary Phone Calling Code","Phone / Additional Phones","Mail / Primary Email","Mail / Additional Emails","Domain Name / Link URL","Domain Name / Link Label","Domain Name / Secondary Links","Creation date","Created by / Source","Created by / Workspace Member","Created by / Name","Created by / Context","Address / Country"
"5348c325-67ec-479a-baaa-755b2677d82e","Falke","VIDEOSCHNITT","","","","","","[]","ABGESAGT","21187574712","DE","‍+49","[]","humanresources@falke.com","[]","https://www.falke.com/de_de","","[]","2026-07-13T15:35:58.119Z","MANUAL","e31d1282-5a76-41dd-937b-b6b63ab4a00b","Julian Dzano","{}",""
"8de26c59-fc59-4605-8320-23185f647f86","Haeger","VIDEOSCHNITT","","","","","","[]","OFFEN","21141819000","DE","‍+49","[]","info@haeger-holding.com","[]","https://haeger-holding.com","","[]","2026-07-13T15:41:32.555Z","MANUAL","e31d1282-5a76-41dd-937b-b6b63ab4a00b","Julian Dzano","{}",""
"587b2d1a-43de-4f15-8f10-7349215a5edd","searchperts","VIDEOSCHNITT","","","","","","[]","OFFEN","21186943653","DE","‍+49","[]","damian@searchperts.com","[]","https://searchperts.de","","[]","2026-07-13T15:54:44.128Z","MANUAL","e31d1282-5a76-41dd-937b-b6b63ab4a00b","Julian Dzano","{}",""
"b1d5095d-7f12-453e-9796-21d3fb972de8","mitarbeiter.com","VIDEOSCHNITT","","","","","","[]","OFFEN","20149869410","DE","‍+49","[]","cc@mitarbeiter.com","[""info@mitarbeiter.com""]","https://mitarbeiter.com","","[]","2026-07-13T16:04:34.712Z","MANUAL","e31d1282-5a76-41dd-937b-b6b63ab4a00b","Julian Dzano","{}",""
"9f9416d6-6de6-4d5c-bb42-666b6f0d6ecd","api gmbh","VIDEOSCHNITT","","","","","","[]","OFFEN","24191703700","DE","‍+49","[]","marketing@api.de","[]","https://api.de/kontakt","","[]","2026-07-13T16:15:50.394Z","MANUAL","e31d1282-5a76-41dd-937b-b6b63ab4a00b","Julian Dzano","{}",""
"2bee1b38-d9dd-46c7-b419-ea90a0a5cdfd","Buhle Consulting GmbH","VIDEOSCHNITT","","","","","","[]","KONTAKTIERT_PER_MAIL","","","","[]","bb@bjoernbuhle.de","[]","https://bjoernbuhle.de","","[]","2026-07-13T16:21:03.510Z","MANUAL","e31d1282-5a76-41dd-937b-b6b63ab4a00b","Julian Dzano","{}",""
"5d915973-591c-4786-9d14-98d39e104b88","Creative Dreams","VIDEOSCHNITT","","","","","","[]","OFFEN","1631369981","DE","‍+49","[]","hello@barkerz.de","[]","https://www.creativedreams.co/de","","[]","2026-07-13T16:58:37.648Z","MANUAL","cfdc3ffb-01ac-4c83-a44f-e635f3a1bf86","Semin Erol","{}",""
"8c87c57c-0e6d-41a6-bd43-ad5a8709c0d9","Savage Beauty","VIDEOSCHNITT","","","","","","[]","NICHT_ERREICHT","1773492000","DE","‍+49","[]","hallo@savagebeauty.de","[]","https://www.savagebeauty.de","","[]","2026-07-13T17:00:59.792Z","MANUAL","cfdc3ffb-01ac-4c83-a44f-e635f3a1bf86","Semin Erol","{}",""
"0f985629-d5d2-4948-b636-9180a36ae8f0","Repeat Media","VIDEOSCHNITT","","","","","","[]","OFFEN","","","","[]","info@repeatmedia.de","[]","","","[]","2026-07-13T17:06:19.839Z","MANUAL","e31d1282-5a76-41dd-937b-b6b63ab4a00b","Julian Dzano","{}",""
"e9438c03-095c-4c1e-a300-4aea3c836a69","Smn scale","VIDEOSCHNITT","","","","https://de.indeed.com/viewjob?jk=6233411fe1c7700c&from=shareddesktop_copy","","[]","KONTAKTIERT_PER_MAIL","","","","[]","hi@smn-scale.com","[]","https://www.smn-scale.com","","[]","2026-07-13T17:14:03.471Z","MANUAL","e31d1282-5a76-41dd-937b-b6b63ab4a00b","Julian Dzano","{}",""
