Id,Name,Scope,Budget,AI Notes / Markdown,Referrer / Link URL,Referrer / Link Label,Referrer / Secondary Links,Status,Phone / Primary Phone Number,Phone / Primary Phone Country Code,Phone / Primary Phone Calling Code,Phone / Additional Phones,Mail / Primary Email,Mail / Additional Emails,Domain Name / Link URL,Domain Name / Link Label,Domain Name / Secondary Links,Creation date,Created by / Source,Created by / Workspace Member,Created by / Name,Created by / Context,Address / Country
,Neona Living GmbH,VIDEOSCHNITT,,"Fakt: Neona Living GmbH schreibt aktuell die Position „Video-Editor/in (m/w/d)“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/videoeditor,,[],OFFEN,21450680266,DE,+49,[],support@neona.store,[],https://www.neona.store,,[],,MANUAL,,,{},DE
,DATRON AG,VIDEOSCHNITT,,"Fakt: DATRON AG schreibt aktuell die Position „Video Content Creator (m/w/d)“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/videoeditor,,[],OFFEN,6154637660,DE,+49,[],info@datron.de,[],https://www.datron.de,,[],,MANUAL,,,{},DE
,PBMvisuals GmbH,VIDEOSCHNITT,32.000–45.000 EUR brutto/Jahr,"Fakt: PBMvisuals GmbH schreibt aktuell die Position „Video Content Creator (m/w/d)“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/videoeditor,,[],OFFEN,23818769988,DE,+49,[],service@pbmvisuals.de,[],https://pbmvisuals.de,,[],,MANUAL,,,{},DE
,Binder Optik GmbH,VIDEOSCHNITT,,"Fakt: Binder Optik GmbH schreibt aktuell die Position „Video & Foto Creator (m/w/d) mit Fokus KI“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/videoeditor,,[],OFFEN,703162070,DE,+49,[],info@binder-optik.de,[],https://www.binder-optik.de,,[],,MANUAL,,,{},DE
,Dr. O. K. Wack Chemie GmbH,VIDEOSCHNITT,,"Fakt: Dr. O. K. Wack Chemie GmbH schreibt aktuell die Position „Junior Video Content Creator - Technik / Social Media (m/w/d)“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/videoeditor,,[],OFFEN,845341995100,DE,+49,[],,[],https://wack-group.com,,[],,MANUAL,,,{},DE
,Anker Marketing GmbH,VIDEOSCHNITT,,"Fakt: Anker Marketing GmbH schreibt aktuell die Position „Video Editor*in GESUCHT! - Freelance / Vollzeit“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/videoeditor,,[],OFFEN,15233717046,DE,+49,[],info@anker-marketing.com,[],https://www.anker-marketing.com,,[],,MANUAL,,,{},DE
,Unseen Media GmbH,VIDEOSCHNITT,,"Fakt: Unseen Media GmbH schreibt aktuell die Position „Freelance Video Editor (m,w,d)“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/videoeditor,,[],OFFEN,15129467227,DE,+49,[],nico@unseenmedia.de,[],https://unseenmedia.de,,[],,MANUAL,,,{},DE
,Dschungel Marketing GmbH,VIDEOSCHNITT,,"Fakt: Dschungel Marketing GmbH schreibt aktuell die Position „Video Editor Performance Marketing (all genders)“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/videoeditor,,[],OFFEN,15788894760,DE,+49,[],hallo@dschungel.io,[],https://www.dschungel.io,,[],,MANUAL,,,{},DE
,Priesmeier Sicherheit Systeme GmbH,VIDEOSCHNITT,,"Fakt: Priesmeier Sicherheit Systeme GmbH schreibt aktuell die Position „Performance Video Editor / Cutter (m/w/d) Direct Response & Meta Ads | Freelance“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/videoeditor,,[],OFFEN,531243990,DE,+49,[],info@priesmeier-sicherheit.de,[],https://priesmeier-sicherheit.de,,[],,MANUAL,,,{},DE
,MWA Media Works Agency GmbH,VIDEOSCHNITT,,"Fakt: MWA Media Works Agency GmbH schreibt aktuell die Position „AI Video Editor / Social Media Cutter“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/videoeditor,,[],OFFEN,4063855272,DE,+49,[],info@media-works.de,[],https://www.media-works.de,,[],,MANUAL,,,{},DE
